tr|A0A016TV92|A0A016TV92_9BILA	tr|A0A016TV92|A0A016TV92_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0077.g1138 PE=3 SV=1
tr|D2I374|D2I374_AILME	tr|D2I374|D2I374_AILME G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_019937 PE=4 SV=1
tr|D2I380|D2I380_AILME	tr|D2I380|D2I380_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_019945 PE=3 SV=1
tr|D2I383|D2I383_AILME	tr|D2I383|D2I383_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_019955 PE=3 SV=1
tr|D2I3R5|D2I3R5_AILME	tr|D2I3R5|D2I3R5_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_020185 PE=3 SV=1
tr|D2I3T4|D2I3T4_AILME	tr|D2I3T4|D2I3T4_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=OR7C1 PE=3 SV=1
tr|D2I467|D2I467_AILME	tr|D2I467|D2I467_AILME G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_020368 PE=3 SV=1
tr|D2I468|D2I468_AILME	tr|D2I468|D2I468_AILME G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_020369 PE=3 SV=1
tr|D2I469|D2I469_AILME	tr|D2I469|D2I469_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_020370 PE=3 SV=1
tr|D2I473|D2I473_AILME	tr|D2I473|D2I473_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=LOC100478779 PE=3 SV=1
tr|D2I4X2|D2I4X2_AILME	tr|D2I4X2|D2I4X2_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_020681 PE=3 SV=1
tr|D2I4Z9|D2I4Z9_AILME	tr|D2I4Z9|D2I4Z9_AILME G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_020711 PE=3 SV=1
tr|D2I512|D2I512_AILME	tr|D2I512|D2I512_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=LOC100481890 PE=3 SV=1
tr|D2I542|D2I542_AILME	tr|D2I542|D2I542_AILME Atypical chemokine receptor 3 (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=ACKR3 PE=3 SV=1
tr|D2I564|D2I564_AILME	tr|D2I564|D2I564_AILME G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_020798 PE=3 SV=1
tr|D2I5C9|D2I5C9_AILME	tr|D2I5C9|D2I5C9_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=OR4S1 PE=3 SV=1
tr|D2I5D0|D2I5D0_AILME	tr|D2I5D0|D2I5D0_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=OR4X1 PE=3 SV=1
tr|D2I5S7|D2I5S7_AILME	tr|D2I5S7|D2I5S7_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_021066 PE=3 SV=1
tr|D2I605|D2I605_AILME	tr|D2I605|D2I605_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_021160 PE=3 SV=1
tr|D2I673|D2I673_AILME	tr|D2I673|D2I673_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_021269 PE=3 SV=1
tr|D2I674|D2I674_AILME	tr|D2I674|D2I674_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_021270 PE=3 SV=1
tr|D2I675|D2I675_AILME	tr|D2I675|D2I675_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_021271 PE=3 SV=1
tr|D2I678|D2I678_AILME	tr|D2I678|D2I678_AILME G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_021275 PE=3 SV=1
tr|D2I679|D2I679_AILME	tr|D2I679|D2I679_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_021276 PE=3 SV=1
tr|D2I6E9|D2I6E9_AILME	tr|D2I6E9|D2I6E9_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_021389 PE=3 SV=1
tr|D2I6M0|D2I6M0_AILME	tr|D2I6M0|D2I6M0_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_021478 PE=3 SV=1
tr|D2I6R7|D2I6R7_AILME	tr|D2I6R7|D2I6R7_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_021539 PE=3 SV=1
tr|D2I6W9|D2I6W9_AILME	tr|D2I6W9|D2I6W9_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_021611 PE=3 SV=1
tr|D2I6X2|D2I6X2_AILME	tr|D2I6X2|D2I6X2_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=LOC100472150 PE=3 SV=1
tr|D2I718|D2I718_AILME	tr|D2I718|D2I718_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_021671 PE=3 SV=1
tr|D2I791|D2I791_AILME	tr|D2I791|D2I791_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=OR10A4 PE=3 SV=1
tr|D2I7K5|D2I7K5_AILME	tr|D2I7K5|D2I7K5_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_021926 PE=3 SV=1
tr|D2I7M4|D2I7M4_AILME	tr|D2I7M4|D2I7M4_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=LOC100480798 PE=3 SV=1
tr|D2I7M5|D2I7M5_AILME	tr|D2I7M5|D2I7M5_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=LOC100481051 PE=3 SV=1
tr|D2I7Q0|D2I7Q0_AILME	tr|D2I7Q0|D2I7Q0_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=OR2C1 PE=3 SV=1
tr|D2I7Q6|D2I7Q6_AILME	tr|D2I7Q6|D2I7Q6_AILME G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_022014 PE=3 SV=1
tr|D2I7T7|D2I7T7_AILME	tr|D2I7T7|D2I7T7_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_022057 PE=3 SV=1
tr|D2I7V8|D2I7V8_AILME	tr|D2I7V8|D2I7V8_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_022085 PE=3 SV=1
tr|D2I826|D2I826_AILME	tr|D2I826|D2I826_AILME G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_022181 PE=3 SV=1
tr|D2I840|D2I840_AILME	tr|D2I840|D2I840_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_022195 PE=3 SV=1
tr|D2I880|D2I880_AILME	tr|D2I880|D2I880_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_022256 PE=3 SV=1
tr|D2I8J0|D2I8J0_AILME	tr|D2I8J0|D2I8J0_AILME Olfactory receptor (Fragment) OS=Ailuropoda melanoleuca OX=9646 GN=PANDA_022413 PE=3 SV=1
tr|D2K5A1|D2K5A1_HCMV	tr|D2K5A1|D2K5A1_HCMV Envelope glycoprotein UL33 OS=Human cytomegalovirus OX=10359 GN=UL33 PE=3 SV=1
tr|D2KYB9|D2KYB9_MESAU	tr|D2KYB9|D2KYB9_MESAU Cannabinoid receptor 2 (Fragment) OS=Mesocricetus auratus OX=10036 GN=Cnr2 PE=2 SV=1
tr|D2KZ80|D2KZ80_VERMO	tr|D2KZ80|D2KZ80_VERMO Melanocortin-2 receptor OS=Verasper moseri OX=98923 GN=mc-2r PE=3 SV=1
tr|D3IWU1|D3IWU1_9PASE	tr|D3IWU1|D3IWU1_9PASE Short wavelength sensitive type 1 opsin (Fragment) OS=Cinnyris pulchellus OX=632599 GN=SWS1 PE=4 SV=1
tr|D3IWU4|D3IWU4_ICTGA	tr|D3IWU4|D3IWU4_ICTGA Short wavelength sensitive type 1 opsin (Fragment) OS=Icterus galbula OX=105513 GN=SWS1 PE=4 SV=1
tr|D3IWU6|D3IWU6_9GALL	tr|D3IWU6|D3IWU6_9GALL Short wavelength sensitive type 1 opsin (Fragment) OS=Lyrurus tetrix OX=1233216 GN=SWS1 PE=4 SV=1
tr|D3IWU8|D3IWU8_9EMBE	tr|D3IWU8|D3IWU8_9EMBE Short wavelength sensitive type 1 opsin (Fragment) OS=Emberiza citrinella OX=37595 GN=SWS1 PE=4 SV=2
tr|D3IWU9|D3IWU9_9PASS	tr|D3IWU9|D3IWU9_9PASS Short wavelength sensitive type 1 opsin (Fragment) OS=Mimus saturninus OX=165194 GN=SWS1 PE=4 SV=1
tr|D3YRX2|D3YRX2_HCMVO	tr|D3YRX2|D3YRX2_HCMVO Envelope glycoprotein UL33 OS=Human cytomegalovirus (strain Toledo) OX=311339 GN=UL33 PE=3 SV=1
tr|D3Z7Y3|D3Z7Y3_RAT	tr|D3Z7Y3|D3Z7Y3_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=LOC100910165 PE=3 SV=2
tr|D3Z8R1|D3Z8R1_RAT	tr|D3Z8R1|D3Z8R1_RAT Lysophosphatidic acid receptor 2 OS=Rattus norvegicus OX=10116 GN=Lpar2 PE=3 SV=1
tr|D3Z8S3|D3Z8S3_RAT	tr|D3Z8S3|D3Z8S3_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1417 PE=3 SV=1
tr|D3Z928|D3Z928_RAT	tr|D3Z928|D3Z928_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr721 PE=3 SV=1
tr|D3Z997|D3Z997_RAT	tr|D3Z997|D3Z997_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1058 PE=3 SV=1
tr|D3Z9F3|D3Z9F3_RAT	tr|D3Z9F3|D3Z9F3_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr540 PE=3 SV=1
tr|D3Z9V2|D3Z9V2_RAT	tr|D3Z9V2|D3Z9V2_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr877 PE=3 SV=1
tr|D3ZAM2|D3ZAM2_RAT	tr|D3ZAM2|D3ZAM2_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1620 PE=3 SV=1
tr|D3ZAM9|D3ZAM9_RAT	tr|D3ZAM9|D3ZAM9_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=LOC100909613 PE=3 SV=2
tr|D3ZAT2|D3ZAT2_RAT	tr|D3ZAT2|D3ZAT2_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1646 PE=3 SV=1
tr|D3ZBF0|D3ZBF0_RAT	tr|D3ZBF0|D3ZBF0_RAT Olfactory receptor 6C70-like OS=Rattus norvegicus OX=10116 GN=Olr931 PE=3 SV=1
tr|D3ZBF3|D3ZBF3_RAT	tr|D3ZBF3|D3ZBF3_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr697 PE=3 SV=2
tr|D3ZBY3|D3ZBY3_RAT	tr|D3ZBY3|D3ZBY3_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr756 PE=3 SV=1
tr|D3ZBY9|D3ZBY9_RAT	tr|D3ZBY9|D3ZBY9_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1450 PE=3 SV=1
tr|D3ZC42|D3ZC42_RAT	tr|D3ZC42|D3ZC42_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1060 PE=3 SV=1
tr|D3ZC64|D3ZC64_RAT	tr|D3ZC64|D3ZC64_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1020 PE=3 SV=1
tr|D3ZCV3|D3ZCV3_RAT	tr|D3ZCV3|D3ZCV3_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr729 PE=3 SV=1
tr|D3ZCW9|D3ZCW9_RAT	tr|D3ZCW9|D3ZCW9_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=LOC103690286 PE=3 SV=2
tr|D3ZDG9|D3ZDG9_RAT	tr|D3ZDG9|D3ZDG9_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1666 PE=3 SV=1
tr|D3ZDJ1|D3ZDJ1_RAT	tr|D3ZDJ1|D3ZDJ1_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr848 PE=3 SV=1
tr|D3ZEF0|D3ZEF0_RAT	tr|D3ZEF0|D3ZEF0_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr996 PE=3 SV=1
tr|D3ZEW2|D3ZEW2_RAT	tr|D3ZEW2|D3ZEW2_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1395 PE=3 SV=1
tr|D3ZF09|D3ZF09_RAT	tr|D3ZF09|D3ZF09_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1421 PE=3 SV=1
tr|D3ZFS6|D3ZFS6_RAT	tr|D3ZFS6|D3ZFS6_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr429 PE=3 SV=1
tr|D3ZFY1|D3ZFY1_RAT	tr|D3ZFY1|D3ZFY1_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr984 PE=3 SV=1
tr|D3ZG29|D3ZG29_RAT	tr|D3ZG29|D3ZG29_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr745 PE=3 SV=1
tr|D3ZGE3|D3ZGE3_RAT	tr|D3ZGE3|D3ZGE3_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr670 PE=3 SV=1
tr|D3ZGE7|D3ZGE7_RAT	tr|D3ZGE7|D3ZGE7_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr546 PE=3 SV=1
tr|D3ZHM4|D3ZHM4_RAT	tr|D3ZHM4|D3ZHM4_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr748 PE=3 SV=1
tr|D3ZHT8|D3ZHT8_RAT	tr|D3ZHT8|D3ZHT8_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1424 PE=3 SV=3
tr|D3ZHW4|D3ZHW4_RAT	tr|D3ZHW4|D3ZHW4_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr889 PE=3 SV=1
tr|D3ZID3|D3ZID3_RAT	tr|D3ZID3|D3ZID3_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr833 PE=3 SV=1
tr|D3ZIT6|D3ZIT6_RAT	tr|D3ZIT6|D3ZIT6_RAT G protein-coupled receptor 31 OS=Rattus norvegicus OX=10116 GN=Gpr31 PE=3 SV=1
tr|D3ZJN8|D3ZJN8_RAT	tr|D3ZJN8|D3ZJN8_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr964 PE=3 SV=3
tr|D3ZJQ3|D3ZJQ3_RAT	tr|D3ZJQ3|D3ZJQ3_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1063 PE=3 SV=1
tr|D3ZKF9|D3ZKF9_RAT	tr|D3ZKF9|D3ZKF9_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1349 PE=3 SV=1
tr|D3ZL13|D3ZL13_RAT	tr|D3ZL13|D3ZL13_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr781 PE=3 SV=1
tr|D3ZL56|D3ZL56_RAT	tr|D3ZL56|D3ZL56_RAT Olfactory receptor 860 OS=Rattus norvegicus OX=10116 GN=Olr860 PE=3 SV=2
tr|D3ZLF8|D3ZLF8_RAT	tr|D3ZLF8|D3ZLF8_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1617 PE=3 SV=1
tr|D3ZLG7|D3ZLG7_RAT	tr|D3ZLG7|D3ZLG7_RAT Olfactory receptor 1521 OS=Rattus norvegicus OX=10116 GN=Olr1521 PE=3 SV=1
tr|D3ZLI1|D3ZLI1_RAT	tr|D3ZLI1|D3ZLI1_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=rCG_29402 PE=3 SV=1
tr|D3ZLK0|D3ZLK0_RAT	tr|D3ZLK0|D3ZLK0_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr840 PE=3 SV=1
tr|D3ZLL9|D3ZLL9_RAT	tr|D3ZLL9|D3ZLL9_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=LOC103690375 PE=3 SV=1
tr|D3ZLR1|D3ZLR1_RAT	tr|D3ZLR1|D3ZLR1_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr211 PE=3 SV=1
tr|D3ZMF1|D3ZMF1_RAT	tr|D3ZMF1|D3ZMF1_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1423 PE=3 SV=1
tr|D3ZMK8|D3ZMK8_RAT	tr|D3ZMK8|D3ZMK8_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr839 PE=3 SV=1
tr|D3ZNL0|D3ZNL0_RAT	tr|D3ZNL0|D3ZNL0_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr561 PE=3 SV=1
tr|D3ZP83|D3ZP83_RAT	tr|D3ZP83|D3ZP83_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr779 PE=3 SV=1
tr|D3ZQC5|D3ZQC5_RAT	tr|D3ZQC5|D3ZQC5_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr650 PE=3 SV=1
tr|D3ZQX7|D3ZQX7_RAT	tr|D3ZQX7|D3ZQX7_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=LOC108348038 PE=3 SV=2
tr|D3ZRP2|D3ZRP2_RAT	tr|D3ZRP2|D3ZRP2_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr660 PE=3 SV=1
tr|D3ZS94|D3ZS94_RAT	tr|D3ZS94|D3ZS94_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1160 PE=3 SV=1
tr|D3ZSC7|D3ZSC7_RAT	tr|D3ZSC7|D3ZSC7_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1608 PE=3 SV=2
tr|D3ZSD5|D3ZSD5_RAT	tr|D3ZSD5|D3ZSD5_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr792 PE=3 SV=1
tr|D3ZSH9|D3ZSH9_RAT	tr|D3ZSH9|D3ZSH9_RAT Olfactory receptor 868 OS=Rattus norvegicus OX=10116 GN=Olr868 PE=3 SV=1
tr|D3ZSI0|D3ZSI0_RAT	tr|D3ZSI0|D3ZSI0_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1625 PE=3 SV=1
tr|D3ZSJ7|D3ZSJ7_RAT	tr|D3ZSJ7|D3ZSJ7_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr880 PE=3 SV=1
tr|D3ZSM3|D3ZSM3_RAT	tr|D3ZSM3|D3ZSM3_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1422 PE=3 SV=1
tr|D3ZSQ0|D3ZSQ0_RAT	tr|D3ZSQ0|D3ZSQ0_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1029 PE=3 SV=1
tr|D3ZUL7|D3ZUL7_RAT	tr|D3ZUL7|D3ZUL7_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr286 PE=3 SV=1
tr|D3ZV28|D3ZV28_RAT	tr|D3ZV28|D3ZV28_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1616 PE=3 SV=1
tr|D3ZV34|D3ZV34_RAT	tr|D3ZV34|D3ZV34_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr878 PE=3 SV=1
tr|D3ZWD7|D3ZWD7_RAT	tr|D3ZWD7|D3ZWD7_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr780 PE=3 SV=1
tr|D3ZWS1|D3ZWS1_RAT	tr|D3ZWS1|D3ZWS1_RAT G protein-coupled receptor 174 OS=Rattus norvegicus OX=10116 GN=Gpr174 PE=4 SV=1
tr|D3ZX55|D3ZX55_RAT	tr|D3ZX55|D3ZX55_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1414 PE=3 SV=1
tr|D3ZYN1|D3ZYN1_RAT	tr|D3ZYN1|D3ZYN1_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1394 PE=3 SV=1
tr|D3ZZ28|D3ZZ28_RAT	tr|D3ZZ28|D3ZZ28_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr219 PE=3 SV=1
tr|D3ZZM5|D3ZZM5_RAT	tr|D3ZZM5|D3ZZM5_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1529 PE=3 SV=1
tr|D4A089|D4A089_RAT	tr|D4A089|D4A089_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1612 PE=3 SV=1
tr|D4A0A6|D4A0A6_RAT	tr|D4A0A6|D4A0A6_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1609 PE=3 SV=1
tr|D4A145|D4A145_RAT	tr|D4A145|D4A145_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr847 PE=3 SV=1
tr|D4A2I1|D4A2I1_RAT	tr|D4A2I1|D4A2I1_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr785 PE=3 SV=1
tr|D4A2Y4|D4A2Y4_RAT	tr|D4A2Y4|D4A2Y4_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1619 PE=3 SV=1
tr|D4A4D9|D4A4D9_RAT	tr|D4A4D9|D4A4D9_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr767 PE=3 SV=1
tr|D4A5L0|D4A5L0_RAT	tr|D4A5L0|D4A5L0_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1086 PE=3 SV=1
tr|D4A5P2|D4A5P2_RAT	tr|D4A5P2|D4A5P2_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1396 PE=3 SV=1
tr|D4A706|D4A706_RAT	tr|D4A706|D4A706_RAT Olfactory receptor 1513 OS=Rattus norvegicus OX=10116 GN=Olr1513 PE=3 SV=1
tr|D4A7M1|D4A7M1_RAT	tr|D4A7M1|D4A7M1_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1072 PE=3 SV=1
tr|D4A841|D4A841_RAT	tr|D4A841|D4A841_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr560 PE=3 SV=1
tr|D4A8Q7|D4A8Q7_RAT	tr|D4A8Q7|D4A8Q7_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr749 PE=3 SV=1
tr|D4A9E2|D4A9E2_RAT	tr|D4A9E2|D4A9E2_RAT Olfactory receptor 788 OS=Rattus norvegicus OX=10116 GN=Olr788 PE=3 SV=1
tr|D4A9K0|D4A9K0_RAT	tr|D4A9K0|D4A9K0_RAT G protein-coupled receptor 165 OS=Rattus norvegicus OX=10116 GN=Gpr165 PE=3 SV=1
tr|D4A9Y9|D4A9Y9_RAT	tr|D4A9Y9|D4A9Y9_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr542 PE=3 SV=1
tr|D4AA28|D4AA28_RAT	tr|D4AA28|D4AA28_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr836 PE=3 SV=3
tr|D4AA86|D4AA86_RAT	tr|D4AA86|D4AA86_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr450 PE=3 SV=2
tr|D4AAQ3|D4AAQ3_RAT	tr|D4AAQ3|D4AAQ3_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr896 PE=3 SV=1
tr|D4AAZ7|D4AAZ7_RAT	tr|D4AAZ7|D4AAZ7_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1416 PE=3 SV=1
tr|D4ABA2|D4ABA2_RAT	tr|D4ABA2|D4ABA2_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr222 PE=3 SV=1
tr|D4ABH8|D4ABH8_RAT	tr|D4ABH8|D4ABH8_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr666 PE=3 SV=1
tr|D4ABL8|D4ABL8_RAT	tr|D4ABL8|D4ABL8_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1462 PE=3 SV=1
tr|D4AC79|D4AC79_RAT	tr|D4AC79|D4AC79_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr838 PE=3 SV=3
tr|D4AD16|D4AD16_RAT	tr|D4AD16|D4AD16_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr917 PE=3 SV=1
tr|D4AD60|D4AD60_RAT	tr|D4AD60|D4AD60_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1076 PE=3 SV=2
tr|D4ADN5|D4ADN5_RAT	tr|D4ADN5|D4ADN5_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr892 PE=3 SV=2
tr|D4ADR1|D4ADR1_RAT	tr|D4ADR1|D4ADR1_RAT Lysophosphatidic acid receptor 5 OS=Rattus norvegicus OX=10116 GN=Lpar5 PE=3 SV=2
tr|D4AE45|D4AE45_RAT	tr|D4AE45|D4AE45_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1104 PE=3 SV=1
tr|D4AE91|D4AE91_RAT	tr|D4AE91|D4AE91_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1644 PE=3 SV=3
tr|D4AE92|D4AE92_RAT	tr|D4AE92|D4AE92_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr1645 PE=3 SV=1
tr|D4AEB7|D4AEB7_RAT	tr|D4AEB7|D4AEB7_RAT Olfactory receptor OS=Rattus norvegicus OX=10116 GN=Olr213 PE=3 SV=1
tr|D4IIG8|D4IIG8_PELES	tr|D4IIG8|D4IIG8_PELES Melatonin 1b receptor (Fragment) OS=Pelophylax esculentus OX=8401 GN=mel1b PE=2 SV=1
tr|D4P6H3|D4P6H3_CHICK	tr|D4P6H3|D4P6H3_CHICK Dopamine receptor D3 OS=Gallus gallus OX=9031 GN=DRD3 PE=2 SV=1
tr|D4P6H5|D4P6H5_CHICK	tr|D4P6H5|D4P6H5_CHICK Dopamine receptor D3 OS=Gallus gallus OX=9031 GN=DRD3 PE=2 SV=1
